_id,salesorderid,salesorderitem,productid,quantity,weightmeasure,weightunit,currency,price,grossamount,taxamount,netamount,language,medium_descr,short_descr,deliverydate
66678e7369ed4c2c204958f3,500000000,10,MB-1034,4,12.5,KG,USD,2499,13587,1698.375,11888.625,EN,Mt Discovery Ulti,Mountain Bike,2018-03-10T17:00:00.000Z
66678e7369ed4c2c204958f4,500000017,60,MB-1034,3,12.5,KG,USD,2499,75228,9403.5,65824.5,EN,Mt Discovery Ulti,Mountain Bike,2018-02-22T17:00:00.000Z
66678e7369ed4c2c204958f5,500000024,50,MB-1034,10,12.5,KG,USD,2499,95368,11921,83447,EN,Mt Discovery Ulti,Mountain Bike,2018-03-04T17:00:00.000Z
66678e7369ed4c2c204958f6,500000124,100,MB-1034,10,12.5,KG,USD,2499,71289,8911.125,62377.875,EN,Mt Discovery Ulti,Mountain Bike,2018-04-01T17:00:00.000Z
66678e7369ed4c2c204958f7,500000129,50,MB-1034,8,12.5,KG,USD,2499,109947,13743.375,96203.625,EN,Mt Discovery Ulti,Mountain Bike,2018-03-24T17:00:00.000Z
66678e7369ed4c2c204958f8,500000445,50,MB-1034,1,12.5,KG,USD,2499,123784,9243.625,27561.625,EN,Mt Discovery Ulti,Mountain Bike,2018-07-02T17:00:00.000Z
66678e7369ed4c2c204958f9,500000502,20,MB-1034,9,12.5,KG,USD,2499,82097,6516.375,108136,EN,Mt Discovery Ulti,Mountain Bike,2018-07-20T17:00:00.000Z
66678e7369ed4c2c204958fa,500000579,20,MB-1034,5,12.5,KG,USD,2499,77415,9676.875,14504,EN,Mt Discovery Ulti,Mountain Bike,2018-09-01T17:00:00.000Z
66678e7369ed4c2c204958fb,500000604,60,MB-1034,4,12.5,KG,USD,2499,45655,8638.625,25013.625,EN,Mt Discovery Ulti,Mountain Bike,2018-08-22T17:00:00.000Z
66678e7369ed4c2c204958fc,500000643,10,MB-1034,5,12.5,KG,USD,2499,13248,9196.625,32816.875,EN,Mt Discovery Ulti,Mountain Bike,2018-09-08T17:00:00.000Z
